	9999	9999	Acid Arrow	sorcerer_wizard2
	9999	9999	Acid Arrow	magus2
	9999	9999	Acid Fog	sorcerer_wizard6
	9999	9999	Acid Fog	magus6
	9999	9999	Acid Splash	sorcerer_wizard0
	9999	9999	Acid Splash	summoner0
	9999	9999	Acid Splash	inquisitor0
	9999	9999	Acid Splash	magus0
	9999	9999	Aid	cleric_oracle2
	9999	9999	Aid	inquisitor2
	9999	9999	Aid	alchemist2
	9999	9999	Air Walk	cleric_oracle4
	9999	9999	Air Walk	druid4
	9999	9999	Air Walk	alchemist4
	9999	9999	Align Weapon	cleric_oracle2
	9999	9999	Align Weapon	inquisitor2
	9999	9999	Alter Self	bard2
	9999	9999	Alter Self	sorcerer_wizard2
	9999	9999	Alter Self	witch2
	9999	9999	Alter Self	summoner2
	9999	9999	Alter Self	alchemist2
	9999	9999	Alter Self	magus2
	9999	9999	Alarm	bard1
	9999	9999	Alarm	ranger1
	9999	9999	Alarm	sorcerer_wizard1
	9999	9999	Alarm	summoner1
	9999	9999	Alarm	inquisitor1
	9999	9999	Analyze Dweomer	bard6
	9999	9999	Analyze Dweomer	sorcerer_wizard6
	9999	9999	Analyze Dweomer	witch6
	9999	9999	Analyze Dweomer	alchemist6
	9999	9999	Animal Growth	druid5
	9999	9999	Animal Growth	ranger4
	9999	9999	Animal Growth	sorcerer_wizard5
	9999	9999	Animal Messenger	bard2
	9999	9999	Animal Messenger	druid2
	9999	9999	Animal Messenger	ranger1
	9999	9999	Animal Shapes	druid8
	9999	9999	Animal Trance	bard2
	9999	9999	Animal Trance	druid2
	9999	9999	Animate Dead	cleric_oracle3
	9999	9999	Animate Dead	sorcerer_wizard4
	9999	9999	Animate Dead	antipaladin3
	9999	9999	Animate Objects	bard6
	9999	9999	Animate Objects	cleric_oracle6
	9999	9999	Animate Objects	witch6
	9999	9999	Animate Plants	druid7
	9999	9999	Animate Rope	bard1
	9999	9999	Animate Rope	sorcerer_wizard1
	9999	9999	Antilife Shell	cleric_oracle6
	9999	9999	Antilife Shell	druid6
	9999	9999	Antimagic Field	cleric_oracle8
	9999	9999	Antimagic Field	sorcerer_wizard6
	9999	9999	Antipathy	druid9
	9999	9999	Antipathy	sorcerer_wizard8
	9999	9999	Antipathy	witch8
	9999	9999	Antipathy	summoner6
	9999	9999	Antiplant Shell	druid4
	9999	9999	Arcane Eye	sorcerer_wizard4
	9999	9999	Arcane Eye	witch4
	9999	9999	Arcane Eye	alchemist4
	9999	9999	Arcane Lock	sorcerer_wizard2
	9999	9999	Arcane Mark	sorcerer_wizard0
	9999	9999	Arcane Mark	summoner0
	9999	9999	Arcane Mark	magus0
	9999	9999	Arcane Sight	sorcerer_wizard3
	9999	9999	Arcane Sight	witch3
	9999	9999	Arcane Sight	inquisitor3
	9999	9999	Arcane Sight	alchemist3
	9999	9999	Arcane Sight	magus3
	9999	9999	Arcane Sight, Greater	sorcerer_wizard7
	9999	9999	Arcane Sight, Greater	witch7
	9999	9999	Astral Projection	cleric_oracle9
	9999	9999	Astral Projection	sorcerer_wizard9
	9999	9999	Astral Projection	witch9
	9999	9999	Atonement	cleric_oracle5
	9999	9999	Atonement	druid5
	9999	9999	Atonement	inquisitor5
	9999	9999	Augury	cleric_oracle2
	9999	9999	Augury	witch2
